출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020220125525,기판 상의 구조물 형성 방법,20220930,H01L 21/02,7,16
1020220125776,기상 증착 장치,20220930,C23C 16/455,1,9
1020220125626,수계 이차전지 및 그 제조방법,20220930,H01M 10/36,2,8
1020220124653,수술용 인스트루먼트의 엔드 툴,20220929,A61B 17/29,1,19
1020220124649,이미지 정규화를 이용한 기생충 충란 식별 방법 및 장치,20220929,G06T 7/00,2,15
1020220124650,인공지능을 이용하여 적혈구 검체에서 말라리아 감염을 진단하는 방법 및 그 장치,20220929,G06T 7/00,2,18
1020220123644,전기적 연결 신뢰성이 개선된 플렉서블 전계 발광 장치,20220928,H01L 33/42,4,10
1020220123472,궐련 및 궐련용 에어로졸 생성 장치,20220928,A24D 1/04,5,5
1020220123487,아군훈련 정보로 훈련한 생성모델을 사용하여 적군의 초기 부대 전개에 따른 전투 방책을 예측하는 방법 및 장치,20220928,F41H 13/00,5,10
1020220123651,무선 통신 시스템에서 프로파일을 다운로드 하는 방법 및 장치,20220928,H04W 8/20,4,4
1020220121967,"심전도 데이터 처리 장치, 가변적인 윈도우 크기의 신호 세그먼트들로 분할하면서 분석 필요 구간을 추출하는 심전도 데이터 처리 방법 및 컴퓨터 프로그램",20220926,A61B 5/346,3,15
1020220121148,현상 카트리지 및 이를 채용한 전자사진방식 화상형성장치,20220923,G03G 21/16,6,19
1020220121120,유기 발광 소자,20220923,H10K 99/00,3,10
1020220120927,방열 잉크 및 방열 잉크를 포함하는 방열 시트,20220923,C09D 11/037,9,0
1020220120093,평판 기판용 필름 도포장치 및 그의 작동방법,20220922,B29C 63/02,8,13
1020220120095,유기 발광 소자,20220922,H10K 99/00,5,15
1020220120096,유기 발광 소자,20220922,H10K 99/00,1,18
1020220120101,하수 역류 방지 및 추락 방지 구조가 구비된 맨홀 시스템,20220922,E02D 29/12,3,1
1020220119514,배터리 계측정보 교정방법 및 그 장치,20220921,G01R 31/374,3,8
1020220119516,배터리 계측정보의 교정방법 및 그 장치,20220921,G01R 31/374,3,4
1020220118147,"머신 러닝 기반의 뇌경색 치료 여부 결정 방법, 장치 및 컴퓨터 프로그램",20220919,G16H 50/50,2,16
1020220117254,"부호화 순서 부호화 방법 및 그 장치, 복호화 방법 및 그 장치",20220916,H04N 19/37,4,0
1020220117250,"암모니아 탈수소용 촉매, 이의 제조방법 및 이를 이용한 수소 제조방법",20220916,B01J 29/74,9,6
1020220115248,바나듐 산화환원 흐름전지용 전극의 제조방법 및 이에 의하여 얻어진 전극을포함하는 바나듐 산화환원 흐름전지,20220913,H01M 4/96,2,4
1020220115005,재활용정보관리방법 및 그 장치,20220913,G06Q 10/00,5,16
