appno,title,applicant,date,cpc,cpc_sec,total_c,ind_n,dep_n,strategy,ind_cats,emb_len,bg_len,tf_len,conn_포함하는,conn_구비하는,conn_이루어지는,structural,functional,bracket_ref,inline_ref,sil_hyeon,sil_ye,yeo_jeong,do_myeon,techproblem,techsolution
1020250074101,개인 맞춤형 건강 관리 정보 제공을 위한 사용자 인터페이스를 구비한 컴퓨터 장치¶개인 맞춤형 건강 관리 정보,주식회사 비비드헬스,20250605,G16H 20/10,G,24,18,6,⑥ 장치+장치,장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치,66627,1349,173,18,0,0,18,0,661,14,False,True,False,False,False,False
1020250081513,총기류 소음기용 내열 커버¶총기류 소음기용 내열 커버{HEAT RESISTANT COVER FOR SUPRE,한국피디도어 주식회사,20250620,F41A 21/44,F,10,4,6,⑥ 장치+장치,장치|장치|장치|장치,10160,1022,118,2,0,0,6,0,101,0,True,True,False,False,False,False
1020240154928,혼합형 방음벽 패널¶혼합형 방음벽 패널{Mixed soundproof wall panel},유한회사 삼신기업,20241105,E01F 8/0023,E,32,2,30,⑧ 물건+물건,물건|물건,10909,365,213,2,0,10,14,0,319,13,False,True,False,True,False,False
1020250181865,영상 센서와 광섬유 센서를 활용한 RSU 시스템 및 이를 이용한 방법¶영상 센서와 광섬유 센서를 활용한 RS,주식회사 에니트,20251126,G08G 1/0137,G,16,2,14,⑥ 장치+장치,시스템|시스템,18912,1953,210,16,0,0,16,12,278,0,False,False,False,False,False,False
1020250174974,도로 2차사고 방지용 진동판¶도로 2차사고 방지용 진동판{vibration plate for preventi,유한회사 아가페테크¶최미영,20251118,E01F 9/70,E,14,4,10,⑥ 장치+장치,장치|장치|장치|장치,11017,505,261,0,0,10,16,0,324,14,False,True,False,True,False,False
1020250043415,무선통신시스템 구축/유지보수를 위한 통합관리시스템¶무선통신시스템 구축/유지보수를 위한 통합관리시스템{An I,(주)아이피로드¶강철지,20250403,H04W 24/04	(2009.01),H,8,1,7,⑨ 장치단독,시스템,18619,729,256,9,0,1,11,4,562,0,False,True,True,False,False,False
1020250068973,안마 기능이 구비된 슬라이딩 소파¶안마 기능이 구비된 슬라이딩 소파{Sliding sofa with mass,주식회사 아유케어,20250527,A61H 15/00	(2006.01),A,4,1,3,⑪ 물건단독,물건,3407,335,109,1,0,1,2,1,66,0,False,True,False,False,False,False
1020240186557,표적 물질 조절 제제 제조 방법 및 장치{METHOD AND DEVICE FOR MANUFACTURING T,(주) 칼리시,20241213,G16C 20/10,G,40,6,34,③ 3-way,방법|장치|기억매체|방법|장치|기억매체,30241,1143,38,28,0,0,28,8,136,7,False,True,True,False,False,False
1020250009540,지리시간적 정보를 활용한 다국어 번역 시스템,주식회사 큐팁,20250122,G06F 40/58	(2020.01),G,11,3,8,③ 3-way,기억매체|방법|장치,34256,477,142,8,0,0,8,26,402,0,False,True,False,False,False,False
1020250019059,다중압착구조 단열 미서기 창호,주식회사 원진알미늄,20250214,E06B 3/273	(2006.01),E,5,1,4,⑪ 물건단독,물건,10377,451,104,0,0,3,3,0,385,2,False,True,False,True,False,False
1020250037911,실내 순환 공조기능을 가진 ESS시스템,(주)이투지,20250325,H01M 10/663	(2014.01),H,8,3,5,⑥ 장치+장치,시스템|시스템|시스템,11645,922,220,5,0,0,6,0,213,0,False,True,True,False,False,False
1020240176503,가상블럭을 활용한 이동권한 생성 시스템 및 방법,대아티아이 (주),20241202,B61L 27/20	(2024.01),B,8,1,7,⑨ 장치단독,시스템,12306,1846,191,5,0,0,5,2,129,0,False,True,False,False,False,False
1020240179658,차량 화재 소화장치,주식회사 휴버스,20241205,A62C 3/07	(2006.01),A,19,11,8,⑥ 장치+장치,장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치,25146,523,288,5,0,13,19,4,727,27,False,True,False,True,False,False
1020240146657,연약지반 드레인보드의 코어구조,주식회사 대한아이엠,20241024,E02D 3/10	(2006.01),E,6,5,1,⑧ 물건+물건,물건|물건|물건|물건|물건,8895,875,165,3,0,0,3,0,211,24,False,True,False,False,False,False
1020240170340,AI 기반 광섬유 분포 음향 계측 기술과 PTZ CCTV 기술을 활용한 경계 침입 감시 시스템 및 방법,주식회사 에니트,20241126,G08B 13/22	(2006.01),G,8,1,7,⑨ 장치단독,시스템,19324,3701,393,5,0,0,6,7,132,0,False,True,False,False,False,False
1020250019062,다중압착구조 내진 단열 미서기 창호,주식회사 원진알미늄,20250214,E06B 3/273	(2006.01),E,8,1,7,⑪ 물건단독,물건,12171,451,152,0,0,5,5,0,426,3,False,True,False,True,False,False
1020240177061,입제 살포기,농업회사법인 주식회사 디에스에프,20241203,A01M 9/00	(2014.01),A,6,1,5,⑨ 장치단독,장치,5436,2419,112,2,0,0,5,0,183,0,False,True,False,False,False,False
1020240147229,액침 냉각 방식 에너지 저장 장치 함체,인셀(주),20241025,H01M 10/6567	(2014.01),H,16,4,12,⑦ 방법+방법,방법|방법|방법|방법,9352,2478,266,12,0,0,19,1,79,2,False,True,True,False,False,False
1020250055454,관로 및 선로 유지관리가 용이한 보도교,주식회사 브리텍¶황용주,20250428,E01D 21/00	(2006.01),E,4,1,3,⑪ 물건단독,물건,3298,482,135,1,0,1,4,0,64,2,False,True,False,False,False,False
1020250003324,철도 분기기 교체 시공방법,주식회사 브리텍¶쎈트랙이엔씨(주)¶주식회사 세이프티,20250109,E01B 29/02	(2006.01),E,1,1,0,⑩ 방법단독,방법,2405,834,138,1,0,2,4,0,30,1,False,True,False,False,False,False
1020250003486,변형 방지 보강 및 유지 보수가 용이한 구조를 갖는 데크 시스템과 이의 시공방법,주식회사 한라종합산업,20250109,E01C 5/00	(2006.01),E,7,2,5,② 순수형,시스템|방법,13267,807,276,3,0,1,4,0,383,27,False,True,False,True,False,False
1020240141027,스트링 특성을 활용한 태양광 발전 감시시스템,(주)에코파워텍,20241016,H02S 50/00	(2014.01),H,16,1,15,⑨ 장치단독,시스템,14421,506,221,9,0,0,10,1,103,0,False,True,True,False,False,False
