출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020210175723,반도체 제조 장치 및 반도체 장치의 제조 방법,20211209,H01L 21/67,2,10
1020210174590,반도체 장치 및 그의 제작 방법,20211208,H01L 29/786,1,3
1020227038372,점착제층 구비 필름,20211206,C09J 7/38,1,5
1020210172727,"기판 처리 장치, 장치 관리 컨트롤러 및 프로그램",20211206,H01L 21/67,5,20
1020210172726,산업용 로봇,20211206,B25J 11/00,3,3
1020227030856,도금 방법 및 도금 장치,20211206,C25D 21/10,3,8
1020210171484,"기판 홀더용의 기판 착탈부, 이것을 구비한 습식 기판 처리 장치, 기판 처리 장치 및 기판 반송 방법",20211203,H01L 21/677,2,2
1020210171631,전자 부품,20211203,H01G 4/012,3,7
1020210170948,"도전 입자, 이방 도전성 접착제, 접속 구조체 및 도전 입자의 제조 방법",20211202,H01B 1/00,9,14
1020210170569,산업용 로봇,20211202,B25J 15/02,3,5
1020237002959,"산화마그네슘 분말, 열전도성 필러, 수지 조성물 및 산화마그네슘 분말의 제조 방법",20211201,C01F 5/08,5,6
1020210168723,발광 장치,20211130,H01L 29/786,2,4
1020210168342,반도체 장치,20211130,G01C 3/08,2,1
1020210166540,잉크젯 기록 장치,20211129,B41J 2/175,1,14
1020210167082,"발광 소자, 발광 장치, 전자 기기, 및 조명 장치",20211129,H10K 50/00,5,12
1020210165187,임프린트 장치,20211126,B41J 2/045,2,8
1020237004194,"광학 적층체, 물품",20211126,G02B 1/115,5,2
1020210165490,"반도체 장치, 및 그 제작 방법",20211126,H01L 29/786,4,0
1020210164353,화상 가열 장치 및 화상 형성 장치,20211125,G03G 15/20,3,3
1020210162213,전기 특성을 도출하는 시스템 및 비일시적 컴퓨터 가독 매체,20211123,G01N 21/88,6,11
1020210155692,산업용 로봇,20211112,B25J 15/02,2,3
1020210153650,"유도 결합 플라즈마용 안테나 유닛, 유도 결합 플라즈마 처리 장치 및 유도 결합 플라즈마 처리 방법",20211110,H01J 37/32,4,8
1020210153591,"임프린트 장치, 임프린트 방법 및 물품 제조 방법",20211110,G03F 7/00,4,12
1020227015786,도금 장치,20211109,C25D 17/06,1,7
1020227016377,"폴리티올 조성물, 중합성 조성물, 수지, 성형체, 광학 재료 및 렌즈",20211109,C08G 18/38,8,3
1020237000875,도금 장치 및 도금 장치의 제조 방법,20211105,C25D 17/00,4,10
1020227041038,도금 장치 및 콘택트 세정 방법,20211104,C25D 21/08,6,5
1020227030958,도금 장치 및 기판 세정 방법,20211104,C25D 17/00,3,6
