출원번호,사무소,대리인,MainCPC,CPC섹션,도입_도면목록선행,도입_용어정의선행,JP_실시형태,실시형태_횟수,실시예_횟수,실시용어_주,실시예구조,복수실시예_마커수,변형예_유무,수치한정_빈도,용어_실질정의,용어_보일러플레이트,용어_서수사,용어_인라인약칭,도면참조_방식,도면수,도면참조_per1000자,도면당_분량,전개앵커,전개앵커_v2.1,EMB_분량,BG_분량,효과_채움,효과_정성,면책_도입,면책_말미,면책_전체,JP변형예
1020250006857,kimandjang,김성남,G11C 7/10	(2021.01),G,1,0,0,0,8,실시예,단일,0,0,1.2,0,0,0,0,혼용,7,13.2,1845,도면-공간,,12917,104,1,1,0,1,1,0
1020250006876,kimandjang,김성남,G11C 7/22	(2015.01),G,1,0,0,0,13,실시예,단일,0,1,1.3,0,0,0,0,혼용,10,12.9,1795,동작-시간,,17951,372,1,1,0,1,1,0
1020250038915,kimandjang,이승희,B05B 17/08	(2006.01),B,0,0,0,0,7,실시예,단일,0,0,0.7,0,0,0,1,혼용,14,7.6,629,도면-공간,,8807,1874,1,0,1,1,1,0
1020240141030,kimandjang,김현진,H02S 50/00	(2014.01),H,0,1,0,0,5,실시예,단일,0,0,0.3,0,1,0,0,괄호주도,19,7.6,784,도면-공간,,14902,811,1,0,0,0,0,0
1020240141029,kimandjang,김현진,G08B 21/18	(2006.01),G,0,1,0,0,5,실시예,단일,0,0,0.1,0,1,0,0,혼용,10,11.9,1171,도면-공간,,11707,891,1,0,0,0,0,0
1020250128348,kimandjang,김성남,H01L 21/02	(2006.01),H,0,0,0,0,18,실시예,단일,0,0,2.2,0,0,0,0,혼용,6,19.1,1002,도면-공간,,6012,394,1,1,1,1,1,0
1020240144330,kimandjang,김성남,G11C 7/222,G,1,0,0,0,21,실시예,단일,0,0,0.1,0,0,0,0,괄호주도,10,13.3,1959,동작-시간,,19586,318,1,1,0,0,0,0
1020250001638,kimandjang,김성남,G06F 3/0604,G,0,0,0,0,17,실시예,단일,0,1,1.4,0,0,0,0,혼용,22,8.1,1142,도면-공간,,25123,428,1,1,0,1,1,0
1020250002984,kimandjang,김성남,G06F 3/0616,G,0,0,0,0,15,실시예,단일,0,0,0.1,0,0,0,0,혼용,8,18.0,2212,도면-공간,,17696,228,1,0,0,1,1,0
1020240198168,kimandjang,조경화,G06F 30/27,G,0,0,0,0,18,실시예,단일,0,1,0.2,0,0,0,0,괄호주도,4,6.5,2846,도면-공간,,11384,473,1,1,0,0,1,0
1020250065226,kimandjang,조경화,A61K 35/28	(2015.01),A,0,0,1,1,6,실시예,단일,0,0,1.6,0,0,0,0,인라인주도,4,2.5,792,도면-공간,,3167,1472,1,0,1,0,1,0
1020250022676,kimandjang,이호준,G06Q 50/16,G,0,0,0,0,37,실시예,단일,0,1,0.0,0,0,0,0,괄호주도,5,10.4,5058,도면-공간,,25290,588,1,0,0,1,1,0
1020250123449,kimandjang,이호준,G06F 16/5846,G,0,0,0,0,43,실시예,단일,0,1,0.0,0,0,0,0,괄호주도,6,7.5,6674,도면-공간,,40043,217,1,1,0,1,1,0
1020250016419,kimandjang,이승희,G01N 21/78	(2006.01),G,0,0,0,0,7,실시예,단일,0,0,1.5,0,0,0,0,혼용,4,6.9,1705,도면-공간,,6820,1640,1,0,1,1,1,0
1020240179428,kimandjang,김기호,A61H 15/00	(2006.01),A,0,0,0,0,15,실시예,단일,0,1,0.3,0,0,0,0,혼용,10,20.1,318,동작-시간,,3181,509,1,0,0,0,0,0
1020250069781,kimandjang,이석재,A47B 97/00	(2006.01),A,0,0,1,1,4,실시예,단일,0,0,0.0,0,0,0,0,혼용,8,28.3,1672,도면-공간,,13377,1258,1,1,0,0,0,0
1020240193053,kimandjang,이호준,G06F 9/451	(2018.01),G,0,0,0,0,24,실시예,단일,0,1,0.0,0,0,0,0,소수,3,2.0,18338,동작-시간,,55014,1192,1,1,0,1,1,0
1020250074101,kimandjang,이호준,G16H 20/10,G,0,0,0,0,31,실시예,단일,0,1,0.1,0,0,0,0,혼용,16,12.1,4164,도면-공간,,66627,1349,1,1,0,1,1,0
1020250081513,kimandjang,이석재,F41A 21/44,F,0,1,1,1,3,실시예,단일,0,1,12.2,1,0,0,0,혼용,7,11.8,1451,실험-수치,,10160,1022,1,1,0,0,0,0
1020240154928,kimandjang,이승현,E01F 8/0023,E,1,0,0,0,4,실시예,단일,0,1,0.4,0,0,0,0,혼용,13,32.9,839,도면-공간,,10909,365,1,1,0,0,0,0
1020250181865,kimandjang,이재훈,G08G 1/0137,G,0,0,0,0,0,없음,단일,0,0,0.0,0,0,0,0,괄호주도,8,15.4,2364,동작-시간,,18912,1953,1,1,0,0,0,0
